Unnamed: 0,#,Diametro (mm),Pc Profundidad (mm),Lm Longitud (mm),Tiempo de carga y descarga (s),T Tiempo de Operación (s),Tiempo total de mecanizado (s),Velocidad angular [1/S],Av velocidad de avance (mm/s),Afiladas #,Desgaste,Valor de venta $,Valor producción $
1,1,24.5,2,50,97.6,321.5,419.1,12.51,0.1555,1,86.2,10000,7116
2,2,24.5,2,50,103.4,298.2,401.6,12.51,0.1677,1,96.12,10000,7111
3,3,24.5,3,50,201.1,245.3,446.4,12.51,0.2038,1,156.3,12000,7123
4,4,24.5,3,50,60.32,265.6,325.92,12.51,0.1883,2,148.9,12000,7090
5,5,24.5,5,50,76.5,185.5,262.0,12.51,0.2695,2,175.6,15000,7072
6,6,24.5,5,50,89.1,325.6,414.7,12.51,0.1536,2,93.4,15000,7115
7,7,24.5,2,30,93.1,235.4,328.5,12.51,0.1274,3,87.65,8500,7091
8,8,24.5,2,50,82.8,167.6,250.4,12.51,0.2983,3,201.3,8500,7069
9,9,24.5,7,60,130.6,164.6,295.2,19.43,0.3645,3,126.7,20000,7082
10,10,24.5,7,60,100.1,286.5,386.6,19.43,0.2094,3,235.7,20000,7107
