Unnamed: 0,#,Diámetro (mm),Pc Profundidad (mm),Lm Longitud (mm),Tiempo de carga y descarga (s),T Tiempo de Operación (s),Tiempo total de mecanizado (s),Velocidad angular [1/S],Av velocidad de avance (mm/s),Afiladas #,Desgaste,Valor de venta $,Valor producción $
1,1,24.5,2,50,125.9,265.2,391.1,12.51,0.1885,1,113.5,10000,7108
2,2,24.5,2,50,76.2,259.6,335.8,12.51,0.1926,1,214.3,10000,7093
3,3,24.5,3,50,165.2,295.3,460.5,12.51,0.1693,1,135.2,12000,7127
4,4,24.5,3,50,57.2,365.2,422.4,12.51,0.1369,1,245.2,12000,7117
5,5,24.5,5,50,65.7,394.2,459.9,12.51,0.1268,2,98.3,15000,7127
6,6,24.5,5,50,95.24,235.2,330.44,12.51,0.2126,2,145.6,15000,7091
7,7,24.5,2,30,74.9,284.6,359.5,12.51,0.1054,2,136.2,8500,7099
8,8,24.5,2,50,85.6,406.2,491.8,12.51,0.1231,3,96.3,8500,7136
9,9,24.5,7,60,95.9,195.9,291.8,19.43,0.3063,2,89.2,20000,7081
10,10,24.5,7,60,65.32,289.4,354.72,19.43,0.2073,3,142.3,20000,7098
