Unnamed: 0,#,Diámetro (mm),Pc Profundidad (mm),Lm Longitud (mm),Tiempo de carga y descarga (s),T Tiempo de Operación (s),Tiempo total de mecanizado (s),Velocidad angular [1/S],Av velocidad de avance (mm/s),Afiladas #,Desgaste,Valor de venta $,Valor producción $
1,1,24.5,2,50,158.2,349.5,507.7,12.51,0.1431,1,137.21,10000,7140
2,2,24.5,2,50,172.6,429.74,602.34,12.51,0.1163,1,285.68,10000,7166
3,3,24.5,3,50,154.88,354.6,509.48,12.51,0.141,1,260.93,12000,7141
4,4,24.5,3,50,43.95,347.1,391.05,12.51,0.1441,2,203.12,12000,7108
5,5,24.5,5,50,43.9,406.8,450.7,12.51,0.1229,2,162.67,15000,7124
6,6,24.5,5,50,79.0,443.2,522.2,12.51,0.1128,2,287.18,15000,7144
7,7,24.5,2,30,93.6,206.7,300.3,12.51,0.1451,2,248.46,8500,7083
8,8,24.5,2,50,78.4,160.3,238.7,12.51,0.3119,3,342.82,8500,7066
9,9,24.5,7,60,62.6,501.4,564.0,19.43,0.1197,3,410.03,20000,7156
10,10,24.5,7,60,60.4,516.5,576.9,19.43,0.1162,3,310.72,20000,7159
